Year,Brand,Model,Other Info
2018,MitsubishiXPANDER,ULTIMATE,1.5
2016,Mazda2,GT,1.5
2022,DaihatsuROCKY,X,1.2
2021,ToyotaRAIZE,TURBO G,1.0
2019,DaihatsuTERIOS,R,1.5
2019,HondaBRIO,SATYA E,1.2
2018,ToyotaRUSH,S TRD SPORTIVO,1.5
2019,HondaBRIO,SATYA E,1.2
2018,MitsubishiXPANDER,ULTIMATE,1.5
2016,ToyotaKIJANG INNOVA,V,2.0
2020,HondaBRIO,RS,1.2
2019,ToyotaKIJANG INNOVA,REBORN G,2.0
2018,MitsubishiXPANDER,ULTIMATE,1.5
2018,MitsubishiXPANDER,EXCEED,1.5
2018,MitsubishiXPANDER,ULTIMATE,1.5
2015,MazdaCX-5,GT,2.5
2018,ToyotaFORTUNER,VRZ 4X2,2.4
2016,HondaBRIO,RS,1.2
